종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,293048635,-79280935,-217511260,3743560,4080.0,1.75,666702506.0
006840,AK홀딩스,33230140,-35269990,-9500090,11539940,5850.0,-0.3400000035762787,132366850.0
027410,BGF,-16741657,-46443455,90423363,-27238251,3820.0,-0.12999999523162842,477139942.0
282330,BGF리테일,-345434100,2120231100,-1794888800,20091800,116900.0,0.09000000357627869,9619820550.0
138930,BNK금융지주,1643728990,2558175015,-4266457625,64553620,16430.0,-1.7300000190734863,20806909960.0
001460,BYC,-18048700,-2913500,19616250,1345950,32950.0,2.9700000286102295,100421000.0
001465,BYC우,-1554900,0,1554900,0,22250.0,0.9100000262260437,34674550.0
001040,CJ,311349850,-2929990550,2671864900,-53224200,161400.0,1.5099999904632568,16229111400.0
079160,CJ CGV,183009669,49346801,-240163935,7807465,4480.0,1.3600000143051147,1070480749.0
00104K,CJ4우(전환),-489252700,468560400,-22803500,43495800,156500.0,1.4900000095367432,1291360200.0
000120,CJ대한통운,242772350,-750766100,168894450,339099300,74600.0,1.6299999952316284,4704208450.0
011150,CJ씨푸드,-28920176,511230,28408946,0,1875.0,-1.3200000524520874,104676859.0
011155,CJ씨푸드1우,454560,0,-454560,0,9310.0,-1.690000057220459,834670.0
001045,CJ우,251265500,-4458300,-246807300,100,69500.0,-0.7099999785423279,423803650.0
097950,CJ제일제당,807589800,-1748894550,759980850,181323900,190000.0,2.259999990463257,12249584300.0
097955,CJ제일제당 우,172561750,-116548600,-56013150,0,120000.0,0.41999998688697815,682095650.0
000480,CR홀딩스,71880255,16320,-71896575,0,4630.0,0.33000001311302185,175238725.0
000590,CS홀딩스,1722400,-968100,-754300,0,68600.0,-0.8700000047683716,11176200.0
012030,DB,62831821,-2457,-62919214,89850,1750.0,-2.6700000762939453,1275804585.0
005830,DB손해보험,1332361450,-200276650,-2265993650,1133908850,137300.0,-1.2200000286102295,29324940400.0
016610,DB증권,-222141400,-7213690,159448550,69906540,9240.0,0.4300000071525574,1121299950.0
000990,DB하이텍,-19442600650,36363851150,-16053432800,-867817700,152400.0,0.8600000143051147,115579262250.0
001530,DI동일,-145204675,-76488075,-98070450,319763200,22150.0,1.3700000047683716,870183300.0
015590,DKME,27698639,0,-40310579,12611940,1942.0,-2.6600000858306885,330260691.0
000210,DL,-490436375,-496113550,979140325,7409600,44850.0,4.300000190734863,4753522525.0
000215,DL우,6952050,6600,-6979250,20600,21150.0,5.21999979019165,45438000.0
375500,DL이앤씨,-6996760700,-415550500,7157847400,254463800,61900.0,4.739999771118164,33817784250.0
