종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금
000020,동화약품,14526,75423310,247.0,1252850.0,-15719.0,-81520730.0,1000.0,5135000.0,5200,0.78,397858570
000040,KR모터스,6568,9542561,0.0,-6574.0,-6644.0,-9644184.0,,,1401,-2.03,67079360
000050,경방,-982,-8491230,-20.0,-162230.0,1002.0,8653460.0,,,8170,-0.37,242526880
000070,삼양홀딩스,178,10756300,36.0,2194700.0,-211.0,-12769500.0,-3.0,-181500.0,61000,0.16,153685400
000080,하이트진로,-21375,-337784135,-531.0,-6339390.0,21807.0,342564355.0,99.0,1559170.0,15590,0.52,1500267125
000087,하이트진로2우B,4,49820,4.0,49090.0,-8.0,-98910.0,,,12340,0.16,840445
000100,유한양행,-50215,-4198222900,29243.0,2424922400.0,20769.0,1756696200.0,219.0,17944400.0,81400,0.12,21153725850
000105,유한양행우,-113,-8170900,215.0,15265700.0,-102.0,-7094800.0,,,69800,0.72,43557900
000120,CJ대한통운,-15291,-1123090000,3117.0,229752300.0,12282.0,901088100.0,-116.0,-8330200.0,73500,2.08,2977409200
000140,하이트진로홀딩스,2563,20692345,2013.0,16445650.0,-5641.0,-45818285.0,1065.0,8680290.0,8020,-0.37,167794945
000145,하이트진로홀딩스우,1,9210,,,-1.0,-9210.0,0.0,0.0,9210,0.66,2088180
000150,두산,-513,-599850500,173.0,210289500.0,708.0,802630000.0,-264.0,-296771000.0,1125000,0.36,45127325500
000155,두산우,250,98403750,-200.0,-79813500.0,-121.0,-46513250.0,64.0,25167500.0,399500,-1.36,2302573250
000157,두산2우B,19,6184500,0.0,3500.0,-20.0,-6515000.0,1.0,327000.0,326500,-0.15,19878750
000180,성창기업지주,2078,10779230,-353.0,-1887800.0,1556.0,7982820.0,-3281.0,-16874250.0,5190,0.78,67657320
000210,DL,-67709,-3685050700,82533.0,4555809950.0,-14594.0,-857627850.0,382.0,20664800.0,55000,7.42,11782688600
000215,DL우,-1098,-27185150,1034.0,25525550.0,-82.0,-1936200.0,1.0,24700.0,24650,3.35,114075250
000220,유유제약,10447,39937660,74.0,280060.0,-10223.0,-39086585.0,-432.0,-1642260.0,3805,-1.93,173818730
000225,유유제약1우,36,101985,,,-2028.0,-7581390.0,1992.0,7479405.0,3700,-1.46,19402780
000227,유유제약2우B,-34,-251280,,,-2.0,-14740.0,36.0,266020.0,7380,-0.14,39258220
000230,일동홀딩스,-4994,-31837705,-7.0,-91470.0,4874.0,31140295.0,111.0,689200.0,6300,-3.82,417302920
000240,한국앤컴퍼니,-23581,-579201850,4154.0,103675975.0,19474.0,476658575.0,-47.0,-1132700.0,24400,0.83,1790008825
000270,기아,-169288,-21540698700,-28443.0,-3570895250.0,199396.0,25324509950.0,-626.0,-79821200.0,127400,2.41,106479214900
000320,노루홀딩스,-3263,-55370240,-19.0,-321950.0,3281.0,55675410.0,1.0,16780.0,16950,0.71,93813640
000325,노루홀딩스우,0,0,,,,,,,27750,0.0,444000
000370,한화손해보험,-266839,-2386941130,198008.0,1793133950.0,80211.0,692541530.0,-12620.0,-109796680.0,8950,4.31,14145053000
000390,SP삼화,-9042,-58815465,-86.0,-583960.0,9128.0,59399425.0,,,6480,-0.46,984890905
000400,롯데손해보험,-195499,-420475781,18422.0,38801170.0,177577.0,382743281.0,0.0,0.0,2145,2.63,1937688356
000430,대원강업,-13844,-59179504,-88.0,-386565.0,13336.0,57035369.0,0.0,0.0,4335,2.85,326849283
000480,CR홀딩스,8320,37567775,-4535.0,-20405020.0,-3785.0,-17162755.0,,,4530,-0.66,99942030
000490,대동,-39140,-328105625,-63.0,-520150.0,29394.0,247034140.0,12023.0,100069405.0,8250,3.77,5145763965
000500,가온전선,-69703,-14490204800,61194.0,12647030300.0,4684.0,1046767300.0,4199.0,874676700.0,208500,3.73,45505037400
000520,삼일제약,1138,7434160,-45.0,-273600.0,-1088.0,-7128030.0,,,6080,-0.82,264208440
000540,흥국화재,56644,217079969,137.0,538420.0,-62390.0,-238858894.0,5559.0,21051005.0,3960,9.7,2335457559
000545,흥국화재우,-543,-2997360,,,,,0.0,0.0,5840,5.99,13816250
000590,CS홀딩스,11,740500,4.0,265200.0,0.0,-9700.0,,,66700,0.45,4661600
000640,동아쏘시오홀딩스,-584,-55288600,-26.0,-2180450.0,-431.0,-40206850.0,1037.0,97299500.0,94000,1.4,1022094250
000650,천일고속,403,58417700,4.0,577600.0,-409.0,-59284400.0,,,143100,-3.9,224338400
000660,SK하이닉스,-220315,-361497884000,-187288.0,-300390453500.0,-232622.0,-378169606000.0,642229.0,1043340024500.0,1596000,-1.05,4244461616000
000670,영풍,-3041,-121905225,-5282.0,-210850025.0,8314.0,332391650.0,9.0,363600.0,40000,0.25,1158374775
000680,LS네트웍스,-9808,-29646600,169.0,523780.0,6775.0,20346415.0,2864.0,8776405.0,3040,1.5,190132450
000700,유수홀딩스,-961,-6388320,-64.0,-429960.0,1025.0,6818280.0,0.0,0.0,6590,-0.15,109649340
000720,현대건설,-21396,-2624582150,38397.0,4683461050.0,-17530.0,-2114549050.0,802.0,89089750.0,119500,6.13,109539562900
000725,현대건설우,-431,-22269700,0.0,-700.0,431.0,22270400.0,,,52800,2.13,128965300
000760,이화산업,264,3615160,-5.0,-68300.0,-259.0,-3546860.0,,,13660,-0.94,16747810
000810,삼성화재,-10170,-7015705000,50517.0,34861412500.0,-40671.0,-28071809000.0,299.0,209445500.0,702000,6.85,164648541539
000815,삼성화재우,-4194,-1877856750,2382.0,1074328000.0,1952.0,865118250.0,-165.0,-72829500.0,441500,1.73,8091138750
000850,화천기공,-1596,-55427900,29.0,935350.0,1567.0,54492550.0,0.0,0.0,35400,-0.84,1023822000
000860,강남제비스코,1271,15855905,2486.0,31110840.0,-3749.0,-46867065.0,0.0,0.0,12590,-0.08,111562085
