종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,-10152588,-2758157235250,4186614.0,1138104847250.0,4116358.0,1116052815750.0,1885564.0,513761326250.0,274000,4.98,6053449470058,1601880338592000
000660,SK하이닉스,-327282,-614597731500,96093.0,180949294500.0,-359139.0,-671313692500.0,592175.0,1108420542500.0,1868000,0.59,5153761949199,1364559737820000
005935,삼성전자우,-940021,-193469069500,262081.0,54692339200.0,587054.0,119981460750.0,98875.0,20442006050.0,208000,6.07,922975842550,166893210224000
402340,SK스퀘어,-139300,-156349432500,33266.0,37715051500.0,108946.0,121877275000.0,-2040.0,-2266876500.0,1127000,4.45,598357452000,148678345746000
009150,삼성전기,-91409,-131204450500,90624.0,129208756500.0,777.0,1968904000.0,174.0,267079500.0,1429000,2.95,838426007500,106737291584000
373220,LG에너지솔루션,119775,42317969250,-78773.0,-27853337500.0,-13351.0,-4696744000.0,-27942.0,-9870661500.0,352000,-3.3,111235316750,82368000000000
005380,현대차,229092,82466832250,-88990.0,-31982320250.0,-143226.0,-51608222000.0,1706.0,613697750.0,359000,-1.64,165414678000,73508037994000
207940,삼성바이오로직스,370,493587500,-4210.0,-5852654500.0,3753.0,5238850000.0,-142.0,-199638000.0,1402000,0.29,42189093500,64899913302000
105560,KB금융,-91437,-16230544400,142205.0,25229593550.0,-48935.0,-8673552300.0,-1788.0,-317449450.0,177500,1.49,119783916350,62957072785000
028260,삼성물산,-81402,-29674754250,43737.0,16005865500.0,38133.0,13839188000.0,338.0,125744500.0,367500,4.7,114282351000,59596586017500
032830,삼성생명,-34852,-10178545250,27887.0,8143511750.0,6334.0,1850529250.0,662.0,193497000.0,291000,2.65,143445515750,58200000000000
012450,한화에어로스페이스,20234,21661217000,17092.0,18288421000.0,-37542.0,-40182097500.0,126.0,136039500.0,1067000,-1.02,123577560000,55018148867000
034020,두산에너빌리티,651091,55714815850,-167833.0,-14342600900.0,-487733.0,-41757025850.0,459.0,40220450.0,85300,0.47,147508016750,54639865753800
055550,신한지주,-83479,-9411319900,140498.0,15867780500.0,-54677.0,-6191493000.0,-2220.0,-251206700.0,113100,2.72,113973952400,53094822030900
329180,HD현대중공업,8403,3847418750,-39543.0,-17758320250.0,40069.0,17909130000.0,-8561.0,-3833606000.0,450500,-2.07,95396998500,47285031862500
000270,기아,129847,15543155400,-76488.0,-9145784650.0,-53208.0,-6379086250.0,-652.0,-78299900.0,120000,-1.56,95953441050,46849559760000
006400,삼성SDI,104025,55440958000,-43527.0,-23175179500.0,-62355.0,-33260033000.0,781.0,418194500.0,533000,-1.48,154596917500,42952087490000
068270,셀트리온,-47053,-8528663700,48426.0,8776937350.0,1433.0,259908900.0,-2807.0,-508360000.0,181400,1.11,49225329800,42196755726400
034730,SK,-25784,-14750284000,24078.0,13792305000.0,2424.0,1367403500.0,-547.0,-312478500.0,575000,5.5,56154444500,41689054225000
086790,하나금융지주,-60104,-8127798050,104536.0,14143215600.0,-40975.0,-5546993350.0,-3220.0,-436254800.0,135700,1.95,57401625100,36770616787000
012330,현대모비스,26869,10000933750,-30829.0,-11465143750.0,1380.0,503875000.0,2561.0,953322250.0,373000,-1.58,79045232250,33503078205000
066570,LG전자,-164898,-33297769450,78486.0,15900810800.0,90064.0,18131563250.0,-2835.0,-569324500.0,202500,2.07,100052922000,32984139195000
010120,LS ELECTRIC,-21365,-4509497500,3616.0,760958250.0,19928.0,4197194500.0,-2301.0,-473758250.0,209000,-1.18,57122203750,31350000000000
035420,NAVER,103849,20455238550,-198695.0,-39182850350.0,93348.0,18430727000.0,923.0,183489400.0,197900,0.1,121785931200,30099475625100
000810,삼성화재,-570,-377828500,8178.0,5334971000.0,-7599.0,-4951322500.0,-5.0,-3240000.0,651000,0.46,30531394000,29065504923000
298040,효성중공업,-1149,-3446648500,-4349.0,-12655989500.0,5653.0,16552011000.0,-149.0,-431733000.0,2917000,0.07,82878624000,27199706516000
316140,우리금융지주,-213050,-7761416650,280415.0,10210652700.0,-67635.0,-2459022850.0,201.0,7269600.0,36450,0.97,48197641275,26855870002650
267260,HD현대일렉트릭,11361,8138019000,1986.0,1436840500.0,-13841.0,-9928995500.0,460.0,329732000.0,714000,-1.52,39493788000,25737654390000
005490,POSCO홀딩스,40431,12889941750,-10996.0,-3473944750.0,-29823.0,-9540210250.0,408.0,130433500.0,317000,-1.86,60559739750,25119564059000
042660,한화오션,207251,17011871700,-94168.0,-7726129600.0,-114171.0,-9375573500.0,-438.0,-35419300.0,81800,-1.33,41795960250,25064615629200
009540,HD한국조선해양,1361,438603250,2855.0,971286000.0,-3495.0,-1166586250.0,-744.0,-251038000.0,339000,0.44,46950453400,23992086324000
096770,SK이노베이션,34266,4732682800,2920.0,406139250.0,-41195.0,-5698925700.0,4447.0,622202900.0,140700,3.0,80490556000,23785727271600
010130,고려아연,2017,2258460500,646.0,731787500.0,-2765.0,-3104519000.0,85.0,95088000.0,1123000,-0.09,10029458500,23440344187000
000150,두산,17584,25230129000,2985.0,4317482500.0,-20933.0,-30074894500.0,508.0,733712000.0,1432000,-1.04,126532307564,23189571720000
042700,한미반도체,17148,3978312000,-14415.0,-3369869750.0,114.0,67023750.0,-2612.0,-619669250.0,236500,0.21,82554151000,22541335300000
138040,메리츠금융지주,-23768,-3079005000,31805.0,4104565850.0,-7538.0,-960965650.0,-22.0,-2804800.0,129900,2.36,21739599300,21738410762700
011200,HMM,-103956,-2186239450,110502.0,2319876475.0,-6558.0,-133867275.0,70.0,1454000.0,21100,1.44,9900492750,19902321167000
015760,한국전력,189152,5803352225,-122807.0,-3762624150.0,-69649.0,-2142456525.0,2132.0,65711450.0,30850,0.33,25066886925,19804591775450
017670,SK텔레콤,198860,17349247400,-200947.0,-17527907300.0,1738.0,147162350.0,-1572.0,-136765200.0,87000,-2.47,66935147750,18686734611000
051910,LG화학,36293,9443181000,-5067.0,-1288616000.0,-31941.0,-8340296250.0,668.0,173650500.0,258500,-3.18,45764760500,18248120665500
010140,삼성중공업,863695,17767286800,-191481.0,-3932053900.0,-673723.0,-13866745000.0,-3304.0,-67611575.0,20600,-0.96,44392392675,18128000000000
033780,KT&G,-14228,-2475885950,2817.0,492744150.0,12071.0,2097864300.0,-660.0,-114722500.0,173800,1.05,29942996650,18042257252800
018260,삼성에스디에스,-38418,-8619640000,25478.0,5720600000.0,12145.0,2721311250.0,1046.0,233618500.0,224500,2.28,26447190750,17371316100000
006800,미래에셋증권,-89754,-2874413550,-55852.0,-1769459650.0,148539.0,4736604650.0,-2980.0,-94167375.0,31950,0.95,21428196100,17349522579450
010950,S-Oil,-51821,-7971337300,26430.0,4090978850.0,25103.0,3837143150.0,371.0,56105300.0,153900,2.94,51627281900,17326491688800
003550,LG,4153,460538350,29653.0,3305539650.0,-33445.0,-3726031900.0,-385.0,-42709900.0,111300,-0.54,15238469900,16827670045200
